locus	description	name
PA14_19640	short chain dehydrogenase	PA14_19640
PA14_19650	hypothetical protein	PA14_19650
PA14_19660	flavodoxin	PA14_19660
PA14_19670	LysR family transcriptional regulator	PA14_19670
PA14_19680	hypothetical protein	PA14_19680
PA14_19690	hypothetical protein	PA14_19690
PA14_19700	aldolase	PA14_19700
PA14_19710	alpha/beta hydrolase	PA14_19710
PA14_19720	hypothetical protein	PA14_19720
PA14_19730	oxidoreductase	PA14_19730
PA14_19740	enoyl-CoA hydratase	PA14_19740
PA14_19750	hypothetical protein	PA14_19750
PA14_19770	hypothetical protein	PA14_19770
PA14_19800	AraC family transcriptional regulator	PA14_19800
PA14_19810	hypothetical protein	PA14_19810
PA14_19830	hypothetical protein	PA14_19830
PA14_19850	transcriptional regulator	PA14_19850
PA14_19860	hypothetical protein	PA14_19860
PA14_19870	leucine dehydrogenase	ldh
PA14_19900	pyruvate dehydrogenase E1 component subunit alpha	PA14_19900
PA14_19910	pyruvate dehydrogenase E1 component, beta chain	PA14_19910
PA14_19920	branched-chain alpha-keto acid dehydrogenase subunit E2	PA14_19920
PA14_19930	hypothetical protein	PA14_19930
PA14_19940	hypothetical protein	PA14_19940
PA14_19950	hypothetical protein	PA14_19950
PA14_19960	hypothetical protein	PA14_19960
PA14_19970	hypothetical protein	PA14_19970
PA14_19990	RNA polymerase ECF-subfamily sigma-70 factor	PA14_19990
PA14_20000	transmembrane sensor	PA14_20000
PA14_20010	heme uptake outer membrane receptor HasR	hasR
PA14_20020	heme acquisition protein HasAp	hasAp
PA14_20030	transport protein HasD	hasD
PA14_20040	metalloprotease secretion protein	hasE
PA14_20050	outer membrane protein	PA14_20050
PA14_20060	hypothetical protein	PA14_20060
PA14_20070	hypothetical protein	PA14_20070
PA14_20080	hypothetical protein	PA14_20080
PA14_20100	hypothetical protein	PA14_20100
PA14_20110	hypothetical protein	PA14_20110
PA14_20120	hypothetical protein	PA14_20120
PA14_20130	LysR family transcriptional regulator	PA14_20130
PA14_20140	ferredoxin--NADP+ reductase	fpr
PA14_20150	NosL protein	nosL
PA14_20170	NosY protein	nosY
PA14_20180	NosF protein	nosF
PA14_20190	copper ABC transporter periplasmic substrate-binding protein	nosD
PA14_20200	nitrous-oxide reductase	nosZ
PA14_20230	regulatory protein NosR	nosR
PA14_20240	ring-cleaving dioxygenase	PA14_20240
PA14_20250	hypothetical protein	PA14_20250
PA14_20260	hypothetical protein	PA14_20260
PA14_20270	beta-ketoacyl reductase	rhlG
PA14_20280	hypothetical protein	PA14_20280
PA14_20290	DNA binding-protein	PA14_20290
PA14_20300	ABC phosphonate transporter ATP-binding protein	phnC
PA14_20320	phosphonate ABC transporter substrate-binding protein	phnD
PA14_20330	phosphonate ABC transporter permease	phnE
PA14_20350	transcriptional regulator	phnF
PA14_20360	phosphonate metabolism protein PhnG	phnG
PA14_20370	carbon-phosphorus lyase complex subunit	phnH
PA14_20380	hypothetical protein	phnI
PA14_20390	hypothetical protein	phnJ
PA14_20400	phosphonate C-P lyase system protein PhnK	phnK
PA14_20420	phosphonate ABC transporter ATPase	phnL
PA14_20430	phosphonate metabolism protein	phnM
PA14_20440	phosphonate transport ATP-binding protein	phnN
PA14_20450	carbon-phosphorus lyase complex accessory protein	phnP
PA14_20460	hypothetical protein	PA14_20460
PA14_20470	hypothetical protein	PA14_20470
PA14_20480	hypothetical protein	PA14_20480
PA14_20491	acetyltransferase	PA14_20491
PA14_20510	hypothetical protein	PA14_20510
PA14_20520	hypothetical protein	PA14_20520
PA14_20530	hypothetical protein	PA14_20530
PA14_20550	hypothetical protein	PA14_20550
PA14_20560	acylamide amidohydrolase	amiE
PA14_20570	chaperone	PA14_20570
PA14_20580	aliphatic amidase expression-regulating protein	amiC
PA14_20590	aliphatic amidase regulator	amiR
PA14_20600	hypothetical protein	PA14_20600
PA14_20610	fucose-binding lectin PA-IIL	lecB
PA14_20620	HlyD family secretion protein	PA14_20620
PA14_20630	hypothetical protein	PA14_20630
PA14_20640	hypothetical protein	PA14_20640
PA14_20650	D-serine dehydratase	dsdA
PA14_20670	glutamine synthetase	PA14_20670
PA14_20680	MFS transporter	PA14_20680
PA14_20690	hypothetical protein	PA14_20690
PA14_20700	glycosyltransferase	PA14_20700
PA14_20720	hypothetical protein	flgN
PA14_20730	hypothetical protein	flgM
PA14_20740	flagellar basal body P-ring biosynthesis protein FlgA	flgA
PA14_20750	chemotaxis protein	PA14_20750
PA14_20760	chemotaxis protein methyltransferase	PA14_20760
PA14_20770	hypothetical protein	PA14_20770
PA14_20780	two-component response regulator	PA14_20780
PA14_20800	histidine phosphotransfer domain-containing protein	PA14_20800
PA14_20810	ATP-dependent DNA helicase RecQ	recQ
PA14_20820	two-component response regulator	PA14_20820
PA14_20840	hypothetical protein	PA14_20840
PA14_20850	MarR family transcriptional regulator	PA14_20850
PA14_20860	Tfp pilus assembly protein FimV	PA14_20860
PA14_20870	hypothetical protein	PA14_20870
PA14_20880	hypothetical protein	PA14_20880
PA14_20890	ADP-L-glycero-D-manno-heptose-6-epimerase	rfaD
PA14_20900	MFS transporter	PA14_20900
PA14_20920	hypothetical protein	PA14_20920
PA14_20940	acyl carrier protein	PA14_20940
PA14_20950	3-oxoacyl-ACP synthase	fabH2
PA14_20960	isomerase	PA14_20960
PA14_20970	cytochrome P450	cyp23
PA14_20980	short chain dehydrogenas	PA14_20980
PA14_21000	hypothetical protein	PA14_21000
PA14_21010	FAD-dependent monooxygenase	PA14_21010
PA14_21020	non-ribosomal peptide synthetase	PA14_21020
PA14_21030	ATP-dependent Clp protease proteolytic subunit	PA14_21030
PA14_21040	hypothetical protein	PA14_21040
PA14_21050	short chain dehydrogenase	PA14_21050
PA14_21060	hypothetical protein	PA14_21060
PA14_21070	MerR family transcriptional regulator	PA14_21070
PA14_21080	LysR family transcriptional activator	PA14_21080
PA14_21090	hypothetical protein	PA14_21090
PA14_21110	non-hemolytic phospholipase C	plcN
PA14_21120	hypothetical protein	PA14_21120
PA14_21130	outer membrane lipoprotein	PA14_21130
PA14_21140	ABC transporter permease	PA14_21140
PA14_21150	ABC transporter permease	PA14_21150
PA14_21160	ABC transporter ATP-binding protein	PA14_21160
PA14_21175	hypothetical protein	PA14_21175
PA14_21180	3-hydroxyisobutyrate dehydrogenase	PA14_21180
PA14_21190	hypothetical protein	PA14_21190
PA14_21210	hypothetical protein	PA14_21210
PA14_21220	hypothetical protein	PA14_21220
PA14_21230	ATP-dependent helicase HepA	hepA
PA14_21240	hypothetical protein	PA14_21240
PA14_21250	hypothetical protein	alkB
PA14_21260	hypothetical protein	PA14_21260
PA14_21280	hypothetical protein	PA14_21280
PA14_21290	hypothetical protein	PA14_21290
PA14_21300	MFS transporte	PA14_21300
PA14_21310	hypothetical protein	phaJ1
PA14_21320	hypothetical protein	PA14_21320
PA14_21340	long-chain-fatty-acid--CoA ligase	fadD2
PA14_21370	long-chain-fatty-acid--CoA ligase	fadD1
PA14_21380	hypothetical protein	PA14_21380
PA14_21400	ATP-dependent helicase	hrpA
PA14_21410	alkaline phosphatase	phoA
PA14_21440	HIT family protein	PA14_21440
PA14_21450	hypothetical protein	PA14_21450
PA14_21460	hypothetical protein	PA14_21460
PA14_21470	hypothetical protein	PA14_21470
PA14_21480	hypothetical protein	PA14_21480
PA14_21490	hypothetical protein	PA14_21490
PA14_21510	hypothetical protein	PA14_21510
PA14_21520	hypothetical protein	PA14_21520
PA14_21530	ankyrin domain-containing protein	PA14_21530
PA14_21540	3-oxoacyl-ACP synthase	PA14_21540
PA14_21550	RNA polymerase ECF-subfamily sigma-70 factor	PA14_21550
PA14_21560	hypothetical protein	PA14_21560
PA14_21570	hypothetical protein	PA14_21570
PA14_21580	hypothetical protein	PA14_21580
PA14_21590	hypothetical protein	PA14_21590
PA14_21600	hypothetical protein	PA14_21600
PA14_21610	pyrophosphate-specific outer membrane porin OprO precursor	oprO
PA14_21620	phosphate-specific outer membrane porin OprP precursor	oprP
PA14_21630	hypothetical protein	PA14_21630
PA14_21640	short chain dehydrogenase	PA14_21640
PA14_21650	hypothetical protein	PA14_21650
PA14_21660	hypothetical protein	PA14_21660
PA14_21670	hypothetical protein	PA14_21670
PA14_21680	hypothetical protein	PA14_21680
PA14_21690	ATP-dependent DNA helicase	PA14_21690
PA14_21700	two-component sensor	PA14_21700
PA14_21710	hypothetical protein	PA14_21710
PA14_21720	AraC family transcriptional regulator	PA14_21720
PA14_21730	TonB-dependent receptor	PA14_21730
PA14_21750	hypothetical protein	PA14_21750
PA14_21760	cold acclimation protein B	capB
PA14_21770	DMT family permease	PA14_21770
PA14_21780	transporter	PA14_21780
PA14_21790	recombination associated protein	rdgC
PA14_21820	peptidyl-prolyl cis-trans isomerase, FkbP-type	PA14_21820
PA14_21830	hypothetical protein	PA14_21830
PA14_21840	hypothetical protein	PA14_21840
PA14_21850	transcriptional regulator	PA14_21850
PA14_21860	hypothetical protein	PA14_21860
PA14_21870	EAL domain/GGDEF domain-containing protein	PA14_21870
PA14_21880	periplasmic tail-specific protease	tsp
PA14_21890	oxidoreductase	PA14_21890
PA14_21900	HAD-superfamily hydrolase	PA14_21900
PA14_21910	ABC transporter ATP-binding protein	PA14_21910
PA14_21920	ABC transporter permease	PA14_21920
PA14_21930	ABC transporter permease	PA14_21930
PA14_21940	hypothetical protein	PA14_21940
PA14_21960	hypothetical protein	PA14_21960
PA14_21970	transcriptional regulator	PA14_21970
PA14_21980	hypothetical protein	PA14_21980
PA14_21990	aminopeptidase 2	PA14_21990
PA14_22000	pseudouridine synthase	rluA
PA14_22010	cell division topological specificity factor MinE	minE
PA14_22020	cell division inhibitor MinD	minD
PA14_22040	septum formation inhibitor	minC
PA14_22050	lipid A biosynthesis lauroyl acyltransferase	htrB
PA14_22060	hypothetical protein	PA14_22060
PA14_22075	pirin-related protein	PA14_22075
PA14_22080	resolvase	PA14_22080
PA14_22090	hypothetical protein	PA14_22090
PA14_22100	hypothetical protein	PA14_22100
PA14_22110	hypothetical protein	PA14_22110
PA14_22120	hypothetical protein	PA14_22120
PA14_22130	hypothetical protein	PA14_22130
PA14_22140	hypothetical protein	PA14_22140
PA14_22160	hypothetical protein	PA14_22160
PA14_22180	hypothetical protein	PA14_22180
PA14_22190	hypothetical protein	PA14_22190
PA14_22210	hypothetical protein	PA14_22210
PA14_22220	hypothetical protein	PA14_22220
PA14_22230	hypothetical protein	PA14_22230
PA14_22240	hypothetical protein	PA14_22240
PA14_22250	hypothetical protein	PA14_22250
PA14_22260	hypothetical protein	PA14_22260
PA14_22270	recombinase	PA14_22270
PA14_22280	pirin-related protein	PA14_22280
PA14_22290	hypothetical protein	vacJ
PA14_22310	hypothetical protein	PA14_22310
PA14_22320	hypothetical protein	PA14_22320
PA14_22330	glycine betaine-binding protein	PA14_22330
PA14_22340	hypothetical protein	PA14_22340
PA14_22350	acetate permease	actP
PA14_22370	hypothetical protein	PA14_22370
PA14_22380	DNA polymerase III subunit epsilon	PA14_22380
PA14_22400	hypothetical protein	PA14_22400
PA14_22410	hypothetical protein	PA14_22410
PA14_22420	hypothetical protein	PA14_22420
PA14_22440	ABC transporter ATP-binding protein/permease	PA14_22440
PA14_22450	peptidyl-prolyl cis-trans isomerase A	ppiA
PA14_22460	alpha/beta hydrolase	PA14_22460
PA14_22470	LysR family transcriptional regulator	PA14_22470
PA14_22480	hypothetical protein	PA14_22480
PA14_22490	ACP phosphodieterase	acpD
PA14_22500	protein-disulfide isomerase	PA14_22500
PA14_22510	hypothetical protein	PA14_22510
PA14_22520	hypothetical protein	PA14_22520
PA14_22530	glutathione S-transferase	PA14_22530
PA14_22540	flavodoxin	PA14_22540
PA14_22550	LysR family transcriptional regulator	PA14_22550
PA14_22560	permease	PA14_22560
PA14_22570	CsaA protein	csaA
PA14_22580	AraC family transcriptional regulator	PA14_22580
PA14_22590	hypothetical protein	PA14_22590
PA14_22600	glycosyl transferase family protein	PA14_22600
PA14_22620	hypothetical protein	cyaB
PA14_22630	hypothetical protein	PA14_22630
PA14_22640	AraC family transcriptional regulator	PA14_22640
PA14_22650	ABC transporter	PA14_22650
PA14_22660	hypothetical protein	PA14_22660
PA14_22670	ABC transporter ATP-binding protein	PA14_22670
PA14_22680	ABC transporter permease	PA14_22680
PA14_22690	potassium uptake protein TrkH	trkH
PA14_22700	ferredoxin	PA14_22700
PA14_22710	hypothetical protein	PA14_22710
PA14_22720	hypothetical protein	PA14_22720
PA14_22730	two-component sensor	PA14_22730
PA14_22740	hypothetical protein	PA14_22740
PA14_22760	two-component response regulator	cpxR
PA14_22770	hypothetical protein	PA14_22770
PA14_22780	YciI-like protein	yciI
PA14_22800	intracellular septation protein A	yciB
PA14_22820	PHP domain-containing protein	PA14_22820
PA14_22830	SUA5/yciO/yrdC family:Sua5/YciO/YrdC/YwlC family protein	PA14_22830
PA14_22840	hypothetical protein	PA14_22840
PA14_22860	transcriptional regulator	PA14_22860
PA14_22870	hypothetical protein	PA14_22870
PA14_22880	Fe-S protein	PA14_22880
PA14_22890	glyceraldehyde-3-phosphate dehydrogenase	gapA
PA14_22910	phosphogluconate dehydratase	edd
PA14_22930	glucokinase	glk
PA14_22940	two-component response regulator GltR	gltR
PA14_22960	two-component sensor	PA14_22960
PA14_22980	sugar ABC transporter substrate-binding protein	PA14_22980
PA14_22990	ABC sugar transporter permease	PA14_22990
PA14_23000	ABC sugar transporter permease	PA14_23000
PA14_23010	ABC transporter ATP-binding protein	gltK
PA14_23030	glucose/carbohydrate outer membrane porin OprB precursor	oprB
PA14_23050	hypothetical protein	PA14_23050
PA14_23060	DNA-binding transcriptional regulator HexR	hexR
PA14_23070	glucose-6-phosphate 1-dehydrogenase	zwf
PA14_23080	6-phosphogluconolactonase	pgl
PA14_23090	keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase	PA14_23090
PA14_23100	hypothetical protein	PA14_23100
PA14_23110	hypothetical protein	PA14_23110
PA14_23120	hypothetical protein	PA14_23120
PA14_23130	sensory box GGDEF domain-containing protein	PA14_23130
PA14_23160	sodium/glutamate symporter	gltS
PA14_23170	formimidoylglutamase	PA14_23170
PA14_23190	transcriptional regulator	PA14_23190
PA14_23200	short chain dehydrogenase	PA14_23200
PA14_23210	phosphoglycolate phosphatase	PA14_23210
PA14_23220	3-demethylubiquinone-9 3-methyltransferase	ubiG
PA14_23240	N-ethylammeline chlorohydrolase	PA14_23240
PA14_23250	methylthioribose-1-phosphate isomerase	mtnA
PA14_23260	DNA gyrase subunit A	gyrA
PA14_23270	phosphoserine aminotransferase	serC
PA14_23280	chorismate mutase	pheA
PA14_23290	histidinol-phosphate aminotransferase	hisC2
PA14_23310	bifunctional cyclohexadienyl dehydrogenase/ 3-phosphoshikimate 1-carboxyvinyltransferase	PA14_23310
PA14_23320	cytidylate kinase	cmk
PA14_23330	30S ribosomal protein S1	rpsA
PA14_23340	integration host factor subunit beta	ihfB
PA14_23350	hypothetical protein	orfA
PA14_23360	O-antigen chain length regulator	wzz
PA14_23370	UDP-N-acetylglucosamine 2-epimerase	orfK
PA14_23380	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	orfH
PA14_23390	polysaccharide biosynthesis protein	orfE
PA14_23400	hypothetical protein	PA14_23400
PA14_23410	glycosyl transferase family protein	orfJ
PA14_23420	zinc-binding dehydrogenase	PA14_23420
PA14_23430	heparinase	PA14_23430
PA14_23440	group 1 glycosyl transferase	orfL
PA14_23450	NAD dependent epimerase/dehydratase	orfM
PA14_23460	group 4 glycosyl transferase	orfN
PA14_23470	nucleotide sugar epimerase/dehydratase WbpM	wbpM
PA14_23480	hypothetical protein	PA14_23480
PA14_23500	aromatic amino acid aminotransferase	tyrB
PA14_23510	excinuclease ABC subunit B	uvrB
PA14_23520	MFS transporter	PA14_23520
PA14_23530	secretion protein	PA14_23530
PA14_23540	transcriptional regulator	act
PA14_23560	glutamyl-tRNA synthetase	gltX
PA14_23590	transcriptional regulator	PA14_23590
PA14_23610	hydrolase	PA14_23610
PA14_23620	aldolase	kdgA
PA14_23630	hypothetical protein	PA14_23630
PA14_23640	hypothetical protein	PA14_23640
PA14_23650	short chain dehydrogenase	PA14_23650
PA14_23670	hypothetical protein	PA14_23670
PA14_23680	heat-shock protein IbpA	ibpA
PA14_23690	secreted protein	PA14_23690
PA14_23700	LysR family transcriptional regulator	PA14_23700
PA14_23720	translation initiation inhibitor	PA14_23720
PA14_23730	LysR family transcriptional regulator	PA14_23730
PA14_23750	isopropylmalate isomerase large subunit	leuC
PA14_23760	isopropylmalate isomerase small subunit	leuD
PA14_23770	biotin synthesis protein	PA14_23770
PA14_23790	3-isopropylmalate dehydrogenase	leuB
PA14_23800	aspartate-semialdehyde dehydrogenase	asd
PA14_23810	aspartate-semialdehyde dehydrogenase	PA14_23810
PA14_23830	pilus assembly protein	fimV
PA14_23840	tRNA pseudouridine synthase A	truA
PA14_23850	N-(5'-phosphoribosyl)anthranilate isomerase	trpF
PA14_23860	acetyl-CoA carboxylase subunit beta	accD
PA14_23880	folylpolyglutamate synthetase	folC
PA14_23890	hypothetical protein	PA14_23890
PA14_23900	hypothetical protein	cvpA
PA14_23920	amidophosphoribosyltransferase	purF
PA14_23930	O-succinylhomoserine sulfhydrylase	metZ
PA14_23950	oxidoreductase	PA14_23950
PA14_23970	general secretion pathway protein D	xcpQ
PA14_23980	secretion protein XcpP	xcpP
PA14_23990	general secretion pathway protein E	xcpR
PA14_24010	general secretion pathway protein F	xcpS
PA14_24020	general secretion pathway protein G	xcpT
PA14_24040	general secretion pathway outer membrane protein H precursor	xcpU
PA14_24050	general secretion pathway protein I	xcpV
PA14_24060	general secretion pathway protein J	xcpW
PA14_24070	general secretion pathway protein K	xcpX
PA14_24080	general secretion pathway protein L	xcpY
PA14_24100	general secretion pathway protein M	xcpZ
PA14_24140	AraC family transcriptional regulator	PA14_24140
PA14_24150	hypothetical protein	PA14_24150
PA14_24170	2,4-dienoyl-CoA reductase	fadH1
PA14_24180	hypothetical protein	PA14_24180
PA14_24190	1-aminocyclopropane-1-carboxylate deaminase	PA14_24190
PA14_24210	hypothetical protein	PA14_24210
PA14_24220	inorganic polyphosphate/ATP-NAD kinase	ppnK
PA14_24230	hypothetical protein	PA14_24230
PA14_24240	hypothetical protein	PA14_24240
PA14_24245	hypothetical protein	PA14_24245
PA14_24260	hypothetical protein	PA14_24260
PA14_24270	aminopeptidase	pepN
PA14_24290	glycine betaine transmethylase	gbt
PA14_24300	hypothetical protein	PA14_24300
PA14_24310	BNR/Asp-box repeat-containing protein	PA14_24310
PA14_24330	hypothetical protein	PA14_24330
PA14_24340	two-component sensor	PA14_24340
PA14_24350	two-component response regulator	PA14_24350
PA14_24360	hypothetical protein	PA14_24360
PA14_24370	hypothetical protein	PA14_24370
PA14_24380	hypothetical protein	PA14_24380
PA14_24390	hypothetical protein	PA14_24390
PA14_24400	von Willebrand factor A	PA14_24400
PA14_24410	hypothetical protein	PA14_24410
PA14_24420	hypothetical protein	PA14_24420
PA14_24430	hypothetical protein	PA14_24430
PA14_24440	lipoprotein	PA14_24440
PA14_24445	NAD-dependent glutamate dehydrogenase	gdhB
PA14_24480	hypothetical protein	pelA
PA14_24490	hypothetical protein	pelB
PA14_24500	lipoprotein	pelC
PA14_24510	hypothetical protein	pelD
PA14_24530	hypothetical protein	pelE
PA14_24550	hypothetical protein	pelF
PA14_24560	hypothetical protein	pelG
PA14_24570	hypothetical protein	PA14_24570
PA14_24580	hypothetical protein	PA14_24580
PA14_24590	hypothetical protein	PA14_24590
PA14_24600	carboxypeptidase	PA14_24600
PA14_24610	hydrolytic enzyme	PA14_24610
PA14_24620	hypothetical protein	PA14_24620
PA14_24630	hypothetical protein	PA14_24630
PA14_24640	dihydroorotate dehydrogenase 2	pyrD
PA14_24650	ribosome modulation factor	rmf
PA14_24665	hypothetical protein	PA14_24665
PA14_24675	hypothetical protein	PA14_24675
PA14_24690	D-alanyl-D-alanine carboxypeptidase	PA14_24690
PA14_24700	hypothetical protein	PA14_24700
PA14_24710	two-component response regulator	PA14_24710
PA14_24720	two-component sensor	PA14_24720
PA14_24730	deoxyguanosinetriphosphate triphosphohydrolase-like protein	PA14_24730
PA14_24740	hypothetical protein	PA14_24740
PA14_24760	hypothetical protein	PA14_24760
PA14_24770	hypothetical protein	PA14_24770
PA14_24780	transporter	PA14_24780
PA14_24790	outer membrane porin	PA14_24790
PA14_24810	hypothetical protein	PA14_24810
PA14_24820	hypothetical protein	PA14_24820
PA14_24830	glutathione S-transferase	PA14_24830
PA14_24840	transcriptional regulator	PA14_24840
PA14_24850	hypothetical protein	PA14_24850
PA14_24860	cytochrome c Snr1	snr1
PA14_24880	lipoprotein	PA14_24880
PA14_24890	molybdopterin-guanine dinucleotide biosynthesis protein MobA	mobA
PA14_24900	molybdopterin biosynthetic protein B2	moaB2
PA14_24910	molybdenum cofactor biosynthesis protein A2	moeA2
PA14_24920	transcriptional regulator	PA14_24920
PA14_24940	hypothetical protein	PA14_24940
PA14_24950	FAD-dependent glycerol-3-phosphate dehydrogenase	PA14_24950
PA14_24960	carbohydrate kinase	PA14_24960
PA14_24970	lipid kinase	PA14_24970
PA14_24980	hypothetical protein	PA14_24980
PA14_24990	hypothetical protein	PA14_24990
PA14_25000	lytic transglycosylase	PA14_25000
PA14_25020	ABC transporter ATP-binding protein	PA14_25020
PA14_25030	hypothetical protein	PA14_25030
PA14_25040	hypothetical protein	PA14_25040
PA14_25050	hypothetical protein	PA14_25050
PA14_25060	hypothetical protein	PA14_25060
PA14_25080	multifunctional fatty acid oxidation complex subunit alpha	fadB
PA14_25090	3-ketoacyl-CoA thiolase	fadA
PA14_25100	hypothetical protein	PA14_25100
PA14_25110	DNA topoisomerase I	topA
PA14_25130	hypothetical protein	PA14_25130
PA14_25140	hypothetical protein	PA14_25140
PA14_25150	hypothetical protein	PA14_25150
PA14_25160	LexA repressor	lexA
PA14_25180	transcriptional regulator PsrA	psrA
PA14_25195	beta-hexosaminidase	nagZ
PA14_25210	5'-methylthioadenosine phosphorylase	PA14_25210
PA14_25220	hypothetical protein	PA14_25220
PA14_25230	transcription-repair coupling factor	mfd
PA14_25250	glyceraldehyde-3-phosphate dehydrogenase	PA14_25250
PA14_25270	aromatic amino acid transport protein AroP1	aroP1
PA14_25280	Na(+)-translocating NADH-quinone reductase subunit A	nqrA
PA14_25305	Na(+)-translocating NADH-quinone reductase subunit B	nqrB
PA14_25320	Na(+)-translocating NADH-quinone reductase subunit C	nqrC
PA14_25330	Na(+)-translocating NADH-quinone reductase subunit D	nqrD
PA14_25340	Na(+)-translocating NADH-quinone reductase subunit E	nqrE
PA14_25350	Na(+)-translocating NADH-quinone reductase subunit F	nqrF
PA14_25360	thiamine biosynthesis lipoprotein	PA14_25360
PA14_25370	hypothetical protein	PA14_25370
PA14_25390	soluble pyridine nucleotide transhydrogenase	sth
PA14_25400	phosphodiesterase	PA14_25400
PA14_25410	hypothetical protein	PA14_25410
PA14_25420	hypothetical protein	PA14_25420
PA14_25430	hypothetical protein	PA14_25430
PA14_25440	lipoprotein releasing system, ATP-binding protein	PA14_25440
PA14_25450	hypothetical protein	PA14_25450
PA14_25470	hypothetical protein	PA14_25470
PA14_25480	competence protein	PA14_25480
PA14_25490	tolQ-type transport protein	PA14_25490
PA14_25500	hypothetical protein	PA14_25500
PA14_25510	tetraacyldisaccharide 4'-kinase	lpxK
PA14_25520	hypothetical protein	PA14_25520
PA14_25530	3-deoxy-manno-octulosonate cytidylyltransferase	kdsB
PA14_25540	phosphotyrosine protein phosphatase	ptpA
PA14_25550	UDP-N-acetylenolpyruvoylglucosamine reductase	murB
PA14_25560	ribonuclease E	rne
PA14_25580	ribosomal large subunit pseudouridine synthase C	rluC
PA14_25590	hydrolase	PA14_25590
PA14_25600	peptidase	PA14_25600
PA14_25610	Maf-like protein	PA14_25610
PA14_25620	hypothetical protein	PA14_25620
PA14_25630	50S ribosomal protein L32	rpmF
PA14_25640	glycerol-3-phosphate acyltransferase PlsX	plsX
PA14_25650	malonyl-CoA-ACP transacylase	fabD
PA14_25660	3-ketoacyl-ACP reductase	fabG
PA14_25670	acyl carrier protein	acpP
PA14_25690	3-oxoacyl-ACP synthase	fabF1
PA14_25710	4-amino-4-deoxychorismate lyase	pabC
PA14_25730	hypothetical protein	PA14_25730
PA14_25740	thymidylate kinase	tmk
PA14_25760	DNA polymerase III subunit delta'	holB
PA14_25770	type 4 fimbrial biogenesis protein PilZ	pilZ
PA14_25780	TatD family deoxyribonuclease	PA14_25780
PA14_25790	hypothetical protein	PA14_25790
PA14_25800	TetR family transcriptional regulator	PA14_25800
PA14_25810	hypothetical protein	PA14_25810
PA14_25820	lipoprotein	PA14_25820
PA14_25830	hypothetical protein	PA14_25830
PA14_25840	electron transfer flavoprotein-ubiquinone oxidoreductase	PA14_25840
PA14_25860	electron transfer flavoprotein subunit beta	etfB
PA14_25880	electron transfer flavoprotein subunit alpha	etfA
PA14_25900	trans-2-enoyl-CoA reductase	PA14_25900
PA14_25910	lipase	PA14_25910
PA14_25920	precorrin-3 methylase	cobM
PA14_25930	hypothetical protein	PA14_25930
PA14_25940	hypothetical protein	PA14_25940
PA14_25960	cobalamin biosynthesis protein cobW	PA14_25960
PA14_25970	cobaltochelatase subunit CobN	cobN
PA14_25980	phospho-2-dehydro-3-deoxyheptonate aldolase	aroF
PA14_25990	magnesium chelatase	PA14_25990
PA14_26000	magnesium chelatase	PA14_26000
PA14_26010	acyl-CoA thiolase	PA14_26010
PA14_26020	aminopeptidase	PA14_26020
PA14_26050	transporter	PA14_26050
PA14_26060	hypothetical protein	PA14_26060
PA14_26070	hypothetical protein	PA14_26070
PA14_26080	hypothetical protein	PA14_26080
PA14_26090	hydrolase	PA14_26090
PA14_26110	MFS transporter	PA14_26110
PA14_26130	morphinone reductase	morB
PA14_26140	transcriptional regulator	PA14_26140
PA14_26150	transcriptional regulator	PA14_26150
PA14_26160	hypothetical protein	PA14_26160
PA14_26165	hypothetical protein	PA14_26165
PA14_26190	hypothetical protein	PA14_26190
PA14_26200	hypothetical protein	PA14_26200
PA14_26210	histidine transport	hisP
PA14_26220	histidine ABC transporter, inner membrane permease	hisM
PA14_26230	histidine transport system permease	hisQ
PA14_26240	periplasmic histidine-binding protein HisJ	hisJ
PA14_26260	hydrolase	PA14_26260
PA14_26270	transcriptional regulator	PA14_26270
PA14_26280	chemotaxis transducer	PA14_26280
PA14_26300	hypothetical protein	PA14_26300
PA14_26310	short chain dehydrogenase	PA14_26310
PA14_26330	AraC family transcriptional regulator	PA14_26330
PA14_26340	hypothetical protein	PA14_26340
PA14_26350	hypothetical protein	PA14_26350
PA14_26360	ABC transporter permease	PA14_26360
PA14_26390	hypothetical protein	PA14_26390
PA14_26400	ABC transporter ATP-binding protein	PA14_26400
PA14_26420	TonB-dependent receptor	PA14_26420
PA14_26450	hypothetical protein	PA14_26450
PA14_26460	cobalt-precorrin-6x reductase	cobK
PA14_26470	cobalt-precorrin-6A synthase	cbiD
PA14_26480	precorrin-6y-dependent methyltransferase CobL	cobL
PA14_26485	oxidoreductase	PA14_26485
PA14_26500	precorrin-8X methylmutase	cobH
PA14_26510	precorrin-2 C(20)-methyltransferase	cobI
PA14_26530	precorrin-3 methylase CobJ	cobJ
PA14_26540	hypothetical protein	PA14_26540
PA14_26550	lipoprotein	PA14_26550
PA14_26560	outer membrane protein	PA14_26560
PA14_26570	transcriptional regulator	PA14_26570
PA14_26580	hypothetical protein	PA14_26580
PA14_26590	GntR family transcriptional regulator	PA14_26590
PA14_26600	SbrI	sbrI
PA14_26610	SbrR	sbrR
PA14_26620	hypothetical protein	PA14_26620
PA14_26640	long-chain-acyl-CoA synthetase	PA14_26640
PA14_26650	short chain dehydrogenase	PA14_26650
